timeframe,trigger_minute,total_rows,complete_rows,incomplete_rows,direction_comparable_rows,direction_matches,direction_mismatches,direction_accuracy_pct,range_comparable_rows,range_matches,range_mismatches,range_accuracy_pct
15m,0,12,12,0,12,4,8,33.33,12,12,0,100.0
15m,15,14,14,0,14,3,11,21.43,14,14,0,100.0
15m,30,12,12,0,12,5,7,41.67,12,12,0,100.0
15m,45,12,12,0,12,3,9,25.0,12,12,0,100.0
4h,0,12,9,3,9,2,7,22.22,9,9,0,100.0
4h,15,14,10,4,10,5,5,50.0,10,10,0,100.0
4h,30,12,8,4,8,4,4,50.0,8,8,0,100.0
4h,45,12,10,2,10,6,4,60.0,10,9,1,90.0
1d,0,12,0,12,0,0,0,0.0,0,0,0,0.0
1d,15,14,0,14,0,0,0,0.0,0,0,0,0.0
1d,30,12,0,12,0,0,0,0.0,0,0,0,0.0
1d,45,12,0,12,0,0,0,0.0,0,0,0,0.0
